#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E1,88,,,,,,,,,,,,12
2,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E2,86,,,,,,,,,,,,14
3,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E3,92,,,,,,,,,,,,8
4,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E4,86,,,,,,,,,,,,14
5,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E5,100,,,,,,,,,,,,
6,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E8,100,,,,,,,,,,,,
7,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,E∑,174,0,0,0,0,0,0,0,0,0,0,0,26
8,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,T,0,,,,,,,,,,,,
9,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,D,0,0,,,,,,,,,,,
10,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,1,26600,10,0,0,H,920,910,930,,,,,,,,,,
11,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E1,72,,,,,,,,,,,,28
12,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E2,78,,,,,,,,,,,,22
13,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E3,82,,,,,,,,,,,,18
14,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E4,77,,,,,,,,,,,,23
15,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E5,100,,,,,,,,,,,,
16,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E8,100,,,,,,,,,,,,
17,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,E∑,155,0,0,0,0,0,0,0,0,0,0,0,45
18,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,T,0,,,,,,,,,,,,
19,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,D,97,0,,,,,,,,,,,
20,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,1,TRUE,1,60650,0,99,0,,1,0,Durkin,Sam,Extreme Trampoline CQ,01/01/0001,,2,34050,10,0,0,H,885,890,880,,,,,,,,,,
21,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,2,TRUE,2,56450,0,99,0,,1,0,Cumming,Tyson,Extreme Trampoline CQ,01/01/0001,,1,24450,10,0,0,E1,76,,,,,,,,,,,,24
22,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,2,TRUE,2,56450,0,99,0,,1,0,Cumming,Tyson,Extreme Trampoline CQ,01/01/0001,,1,24450,10,0,0,E2,76,,,,,,,,,,,,24
23,9892b657-726c-46eb-5a9f-649135d315db,"QLD CQ Qualifier #1, 2021",,TRA,Junior U17 TRP Male,Qualification,1,,2,TRUE,2,56450,0,99,0,,1,0,Cumming,Tyson,Extreme Trampoline CQ,01/01/0001,,1,24450,10,0,0,E3,80,,,,,,,,,,,,20
