#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E1,89,,,,,,,,,,,,11
2,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E2,89,,,,,,,,,,,,11
3,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E3,83,,,,,,,,,,,,17
4,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E4,88,,,,,,,,,,,,12
5,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E5,100,,,,,,,,,,,,0
6,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E8,0,,,,,,,,,,,,100
7,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,E∑,177,0,0,0,0,0,0,0,0,0,0,0,23
8,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,T,0,,,,,,,,,,,,
9,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,D,0,0,,,,,,,,,,,
10,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,1,27350,10,0,0,H,965,960,970,,,,,,,,,,
11,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E1,79,,,,,,,,,,,,21
12,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E2,84,,,,,,,,,,,,16
13,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E3,72,,,,,,,,,,,,28
14,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E4,85,,,,,,,,,,,,15
15,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E5,100,,,,,,,,,,,,0
16,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E8,0,,,,,,,,,,,,100
17,7f7d7916-e8b2-43f7-781f-677e6885c77b,"VIC Qualifier no. 4, 2018",,TRA,Junior TRP Male,Qualification,1,,1,TRUE,1,61150,0,99,0,,1,0,Moroney,Tom,Omega,01/01/0001,,2,33800,10,0,0,E∑,163,0,0,0,0,0,0,0,0,0,0,0,37
