#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E1,76,2,2,3,3,2,3,2,2,3,2,0,
2,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E2,81,1,2,2,2,2,2,1,2,2,2,1,
3,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E3,79,1,2,2,2,2,3,2,3,2,2,0,
4,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E4,82,1,2,2,2,2,2,2,1,2,2,0,
5,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E5,80,1,2,3,3,2,2,1,2,2,2,0,
6,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E8,77,2,2,3,3,2,2,2,3,2,2,0,
7,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,E∑,160,2,4,5,5,4,4,4,4,4,4,0,0
8,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,T,11925,,,,,,,,,,,,
9,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,D,51,0,,,,,,,,,,,
10,31e81296-13f8-4fab-56e2-51daf06cf765,2021川崎トランポリンジャパンオープン,兼 全日本社会人選手権  兼 JOCジュニアオリンピックカップ,TRA,10才以下 男子,Qualification,1,9:15-9:50,1,TRUE,2,42725,0,99,0,,1,0,岩橋,直毅,スポーツクラブ　テン・フォーティー,01/01/0001,,1,42725,10,0,0,H,970,970,0,,,,,,,,,,
