#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E1,76,2,2,1,2,3,2,2,3,3,3,1,0
2,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E2,78,1,2,2,1,2,2,2,3,2,3,2,0
3,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E3,74,2,2,2,2,2,2,3,3,2,3,3,0
4,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E4,73,2,2,2,2,3,3,3,3,2,3,2,0
5,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E5,100,,,,,,,,,,,,
6,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E8,100,,,,,,,,,,,,
7,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,E∑,150,4,4,4,4,5,4,5,6,4,6,4,0
8,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,T,14900,,,,,,,,,,,,
9,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,D,0,0,,,,,,,,,,,
10,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,1,39400,10,0,0,H,950,950,0,,,,,,,,,,
11,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,2,39010,8,0,0,E1,56,2,1,3,4,3,3,4,4,,,,0
12,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,2,39010,8,0,0,E2,62,2,1,2,4,3,2,2,2,2,,,0
13,ba22aeb1-5ca5-4eb2-6ddb-b0960ee5c22e,48th International Friendship Cup,,TRA,Junior Boys 13-14 Individual,Qualification,1,,1,TRUE,14,78410,0,99,0,,1,0,Palęcki,Stanisław,Poland,01/01/2007,,2,39010,8,0,0,E3,58,2,2,3,3,3,3,3,3,,,,0
