#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E1,74,3,3,3,3,3,2,2,2,2,3,0,
2,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E2,76,3,3,3,3,3,1,2,2,2,2,0,
3,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E3,76,3,3,3,3,3,1,2,2,1,3,0,
4,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E4,75,4,2,3,3,3,1,2,2,2,3,0,
5,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E5,74,3,3,3,3,3,2,2,2,2,3,0,
6,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E8,71,4,3,3,4,4,2,2,1,2,4,0,
7,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,E∑,149,6,6,6,6,6,3,4,4,4,6,0,0
8,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,T,13595,,,,,,,,,,,,
9,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,D,43,0,,,,,,,,,,,
10,22db49da-2948-4f39-501c-8c22d93b16cb,BARRANQUILLA 2018 23TH JUEGOS CENTROAMERICANOS Y DEL CARIBE,"GYMNASIA DE TRAMPOLINE, 01-02 Aug",TRA,Individual femenino,Qualification,1,,1,TRUE,5,88795,0,99,0,20,1,0,PENA MUNOZ,Angie Daniela,COL,06/12/1998,,1,41795,10,0,0,H,900,900,0,,,,,,,,,,
