#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E1,89,1,2,1,1,1,0,1,0,2,2,0,
2,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E2,86,2,2,1,0,1,0,2,1,2,3,0,
3,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E3,85,2,3,1,0,2,0,2,0,2,3,0,
4,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E4,89,2,2,1,0,1,0,1,0,2,2,0,
5,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E5,87,2,2,1,0,1,0,2,0,2,3,0,
6,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E8,84,2,3,1,1,1,1,1,1,2,3,0,
7,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,E∑,175,4,4,2,0,2,0,3,0,4,6,0,0
8,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,T,16180,,,,,,,,,,,,
9,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,D,54,0,,,,,,,,,,,
10,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,1,48380,10,0,0,H,930,930,0,,,,,,,,,,
11,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,2,53510,10,0,0,E1,78,3,2,2,2,2,3,2,2,2,2,0,
12,aa9c6822-c27e-4b3c-45d4-cab83c031089,FIG TRA World Cup - 50th Nissen Cup - ID 15563,,TRA,Ladies,Qualification,1,,1,TRUE,6,101890,0,99,0,,1,6996,DOIHATA,Chisato,JPN,01/01/1994,,2,53510,10,0,0,E2,77,2,3,2,3,2,2,1,2,2,3,1,
