#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E1,88,1,1,2,1,1,1,0,0,2,3,0,0
2,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E2,91,1,1,0,0,1,1,1,0,1,3,0,0
3,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E3,83,2,1,1,0,2,2,1,1,2,3,0,2
4,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E4,77,2,2,2,1,2,3,2,2,3,3,0,1
5,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E5,100,,,,,,,,,,,,
6,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E8,100,,,,,,,,,,,,
7,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,E∑,171,3,2,3,1,3,3,2,1,4,6,0,1
8,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,T,15950,,,,,,,,,,,,
9,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,D,52,0,,,,,,,,,,,
10,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,1,47350,10,0,0,H,910,910,0,,,,,,,,,,
11,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,2,53855,10,0,0,E1,76,2,3,3,3,3,1,2,2,2,3,0,0
12,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,2,53855,10,0,0,E2,81,1,2,2,3,3,1,1,2,2,2,0,0
13,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,2,53855,10,0,0,E3,69,3,3,4,4,4,2,2,3,3,3,0,0
14,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,2,53855,10,0,0,E4,75,2,3,3,2,3,2,2,2,3,3,0,0
15,d209f545-75e1-4db6-6c8f-e3a681b451c7,National Clubs 2017,,TRA,Senior TRP Male,Qualification,1,,1,TRUE,7,101205,0,99,0,,1,0,Hatfield,Ryan,Omega Trampoline Sports Club,01/01/0001,,2,53855,10,0,0,E5,100,,,,,,,,,,,,
