#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E1,154,1,3,0,3,2,3,2,3,3,2,1,0
2,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E2,148,2,3,2,3,3,2,3,3,2,2,1,0
3,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E3,148,2,3,2,3,2,3,2,2,2,3,2,0
4,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E4,148,2,3,2,3,3,3,3,2,2,2,1,0
5,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E5,200,,,,,,,,,,,,
6,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E8,200,,,,,,,,,,,,
7,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,E∑,149,4,6,4,6,5,6,5,5,4,4,2,0
8,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,T,90,,,,,,,,,,,,
9,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,D,0,0,,,,,,,,,,,
10,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,1,32900,10,0,0,H,0,0,0,,,,,,,,,,
11,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E1,140,1,2,2,2,2,2,1,2,3,2,1,10
12,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E2,132,3,2,2,2,2,2,3,2,2,4,0,10
13,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E3,136,2,3,1,3,2,2,2,2,3,2,0,10
14,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E4,132,2,2,2,3,3,2,2,2,3,3,0,10
15,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E5,200,,,,,,,,,,,,
16,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E8,200,,,,,,,,,,,,
17,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,E∑,136,4,4,4,5,4,4,4,4,6,5,0,20
18,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,T,95,,,,,,,,,,,,
19,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,D,43,0,,,,,,,,,,,
20,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,1,0,RAMIREZ,,SON,01/01/0001,,2,36900,10,0,0,H,0,0,0,,,,,,,,,,
21,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,2,0,LOPEZ,,SON,01/01/0001,,1,32900,10,0,0,E1,154,1,3,0,3,2,3,2,3,3,2,1,0
22,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,2,0,LOPEZ,,SON,01/01/0001,,1,32900,10,0,0,E2,148,2,3,2,3,3,2,3,3,2,2,1,0
23,4070c47b-b6d4-4263-5e96-077a0191b343,Olimpiada Nacional 2015,SINCRONIZADO,SYN,SIV - FEM,Qualification,1,,1,TRUE,2,69800,0,99,0,,2,0,LOPEZ,,SON,01/01/0001,,1,32900,10,0,0,E3,148,2,3,2,3,2,3,2,2,2,3,2,0
