#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E1,79,1,1,1,3,2,1,2,,,,,
2,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E2,78,2,1,1,3,2,2,1,,,,,
3,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E3,78,2,2,1,2,1,2,2,,,,,
4,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E4,90,,,,,,,,,,,,
5,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E5,90,,,,,,,,,,,,
6,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E8,90,,,,,,,,,,,,
7,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,E∑,77,2,1,1,3,2,2,2,0,0,0,0,0
8,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,T,0,,,,,,,,,,,,
9,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,D,41,0,,,,,,,,,,,
10,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,1,27200,7,0,0,H,0,0,0,,,,,,,,,,
11,f44f47ca-abb2-4281-5bd5-370ce7a9c17c,Udtagelseskonkurrence 1,,TUM,Udtagelseskonkurrence 1 - 1 - Odense,Qualification,1,,1,TRUE,18,55500,0,99,0,,1,0,Rasmus Beck,Hansen,OGF,01/01/0001,,2,28300,7,0,0,E1,78,1,1,1,3,3,2,1,,,,,
