#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E1,100,,,,,,,,,,,,
2,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E2,100,,,,,,,,,,,,
3,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E3,100,,,,,,,,,,,,
4,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E4,100,,,,,,,,,,,,
5,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E5,100,,,,,,,,,,,,
6,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E8,100,,,,,,,,,,,,
7,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,E∑,200,0,0,0,0,0,0,0,0,0,0,0,0
8,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,T,0,,,,,,,,,,,,
9,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,D,0,0,,,,,,,,,,,
10,e2a0083f-8e5d-41fc-5141-643034a07f41,Vilundahoppet 2018,,TRA,Klass 7 och 8,Qualification,1,,1,TRUE,1,40000,0,99,0,,1,0,SANTESSON,Alfred,"SWE, Upplands Väsby Gymnastikklubb",01/01/0001,,1,20000,10,0,0,H,0,0,0,,,,,,,,,,
