#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E1,80,2,1,2,2,2,1,2,2,3,3,0,
2,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E2,82,2,1,1,2,2,1,1,2,3,2,1,
3,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E3,81,3,1,2,2,1,1,2,2,3,2,0,
4,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E4,78,3,2,2,2,2,2,2,2,2,2,1,
5,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E5,86,2,1,2,1,1,0,1,1,2,2,1,
6,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E8,82,2,1,2,2,2,2,1,1,3,2,0,
7,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,E∑,162,4,2,4,4,4,2,3,4,6,4,1,0
8,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,T,15945,,,,,,,,,,,,
9,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,D,46,0,,,,,,,,,,,
10,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,1,45845,10,0,0,H,910,910,0,,,,,,,,,,
11,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,2,52610,10,0,0,E1,71,3,2,4,3,3,3,2,3,3,3,0,
12,897c4a79-8f22-4ad9-50bd-10da0d8eecae,Личный чемпионат России 2019 года,"г. Хабаровск, 16-18 сентября",TRA,Мужчины,Qualification,1,17 сентября 15.00-15.45,1,TRUE,10,98455,0,99,0,,1,0,Ионин,Алексей,Ростовская область,01/01/1998,,2,52610,10,0,0,E2,76,3,1,4,1,3,2,2,2,2,4,0,
