#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E1,85,1,0,1,0,1,2,2,2,2,2,2,
2,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E2,88,1,0,1,0,0,2,1,1,2,2,2,
3,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E3,88,1,0,1,0,1,1,1,1,2,2,2,
4,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E4,84,1,1,1,0,1,2,1,2,2,3,2,0
5,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E5,86,1,0,0,0,1,2,2,1,2,2,3,
6,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E8,87,1,1,1,0,0,2,1,2,1,2,2,
7,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,E∑,173,2,0,2,0,2,4,2,3,4,4,4,0
8,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,T,17550,,,,,,,,,,,,
9,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,D,48,0,,,,,,,,,,,
10,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,1,49050,10,0,0,H,940,940,0,,,,,,,,,,
11,a6b060bb-b085-474a-4208-2a6bb2079c5d,Личный чемпионат России по прыжкам на батуте 2016 года,"г. Астрахань, 19-23 сентября 2016 года",TRA,Мужчины,Qualification,1,21сентября 2016 года 15.00 - 16.00,1,TRUE,20,55085,0,99,0,,1,0,Наумов,Александр,Оренбургская область,01/01/1991,,2,6035,1,0,0,E1,7,3,,,,,,,,,,,
