#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E1,79,1,3,1,1,2,2,3,1,3,3,1,
2,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E2,76,2,3,2,2,2,2,3,2,2,3,1,
3,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E3,77,2,3,1,1,2,2,3,2,3,3,1,
4,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E4,77,2,3,2,1,1,2,3,2,3,3,1,
5,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E5,78,3,2,2,2,2,2,2,1,2,3,1,
6,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E8,75,2,3,2,2,2,3,2,2,2,3,2,
7,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,E∑,152,4,6,4,3,4,4,6,4,5,6,2,0
8,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,T,11665,,,,,,,,,,,,
9,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,D,32,0,,,,,,,,,,,
10,0212e80d-c604-4c3a-6493-e1977a8ca4db,第11回都道府県対抗トランポリン競技選手権大会,,TRA,10才以下 男子,Qualification,1,,1,TRUE,6,40065,0,99,0,石川県,1,0,土田,瑛太,小松イルカクラブ,01/01/0001,,1,40065,10,0,0,H,1000,1000,0,,,,,,,,,,
