#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E1,58,3,4,5,5,5,5,5,,,,0,0
2,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E2,69,2,3,3,3,3,3,4,,,,0,0
3,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E3,63,3,4,4,4,4,4,4,,,,0,0
4,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E4,62,3,4,4,4,4,4,5,,,,0,0
5,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E5,63,3,4,4,4,4,4,4,,,,0,0
6,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E8,90,,,,,,,,,,,,
7,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,E∑,63,3,4,4,4,4,4,4,0,0,0,0,0
8,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,T,0,,,,,,,,,,,,
9,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,D,14,0,,,,,,,,,,,
10,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,1,20300,7,0,0,H,0,0,0,,,,,,,,,,
11,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,2,16700,7,0,0,E1,51,3,4,4,4,4,4,4,,,,0,12
12,84fe80c4-84ee-4ad7-5291-1c74bc302d85,第14回全日本タンブリング・ダブルミニトランポリン競技選手権大会,,TUM,男子,Qualification,1,,1,TRUE,16,37000,0,99,0,,1,0,松永,哲,日本クリード,01/01/0001,,2,16700,7,0,0,E2,57,2,3,3,3,3,3,4,,,,0,12
