#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E1,63,1,1,1,0,1,1,2,,,,,0
2,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E2,62,1,1,1,0,2,1,2,,,,,
3,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E3,60,1,1,1,1,2,2,2,,,,,0
4,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E4,60,1,1,1,1,2,2,2,,,,,0
5,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E5,70,,,,,,,,,,,,
6,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E8,70,,,,,,,,,,,,
7,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,E∑,122,2,2,2,1,4,3,4,0,0,0,0,0
8,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,T,12460,1845,1815,1790,1775,1755,1785,1695,1630,,,,
9,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,D,17,0,,,,,,,,,,,
10,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,1,32310,7,0,0,H,595,595,0,,,,,,,,,,
11,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E1,22,2,3,3,,,,,,,,,0
12,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E2,24,1,3,2,,,,,,,,,0
13,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E3,22,2,3,3,,,,,,,,,0
14,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E4,20,2,4,4,,,,,,,,,0
15,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E5,30,,,,,,,,,,,,
16,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E8,30,,,,,,,,,,,,
17,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,E∑,44,4,6,6,0,0,0,0,0,0,0,0,0
18,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,T,5255,1795,1750,1710,890,,,,,,,,
19,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,D,43,0,,,,,,,,,,,
20,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,1,TRUE,16,48415,0,99,0,,1,0,池野,友崇,日本体育大学トランポリンクラブ,01/01/0001,,2,16105,3,0,2,H,235,235,0,,,,,,,,,,
21,8be6e59b-cef9-4e73-6274-159fa211c512,第32回世界トランポリン競技選手権大会 日本代表最終選考会,,TRA,男子,Qualification,1,,2,TRUE,12,104435,0,99,0,,1,0,森,晴太郎,フリーエアースポーツクラブ,01/01/0001,,1,49375,10,0,0,E1,87,0,1,1,1,3,1,1,1,2,2,0,0
