#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E1,9.5,5,,,,,,,,,,,,
2,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E2,9.7,1,1,1,,,,,,,,,,
3,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E3,9.9,1,,,,,,,,,,,,
4,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E4,9.9,1,,,,,,,,,,,,
5,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E5,10.0,,,,,,,,,,,,,
6,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E6,10.0,,,,,,,,,,,,,
7,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,E∑,19.8,2,0,0,0,0,0,0,0,0,0,0,0,
8,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,T,0.000,,,,,,,,,,,,,
9,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,D,0.0,0.0,,,,,,,,,,,,
10,8e4347e8-b201-4506-675a-11a480a7496c,"Московские соревнования кубок РОО ""МСФПБ""","г. Москва, 27-30 мая 2021 года",TEST,,TRA,,Qualification,1,,1,TRUE,1,,,41.022,0,0,0.000,99,39.800,0,TRA,1,,0,TEST,TEST,TEST,01/01/2000,,1,10,0.0,0.0,0.0,19.800,PUBLISHED,,2021-05-29 09:45:45.560303 +0300,2021-05-29 09:45:46.3098034 +0300,H,0.00,0.00,0.00,,,,,,,,,,,
