#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E1,7.1,2,2,3,3,3,3,3,4,,,4,2,
2,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E2,6.8,2,3,3,3,3,4,4,4,,,4,2,
3,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E3,7.2,2,3,2,2,3,3,3,4,,,4,2,
4,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E4,10.0,,,,,,,,,,,,,
5,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E5,10.0,,,,,,,,,,,,,
6,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E6,10.0,,,,,,,,,,,,,
7,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,E∑,7.0,2,3,3,3,3,3,3,4,0,0,4,2,
8,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,T,0.000,,,,,,,,,,,,,
9,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,D,2.0,0.0,,,,,,,,,,,,
10,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,1,8,0.0,0.0,2.0,23.000,PUBLISHED,,2017-01-29 10:30:09.735439028 +0900,2017-01-29 10:30:26.288290295 +0900,H,0.00,0.00,0.00,,,,,,,,,,,
11,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E1,5.3,2,3,3,3,3,3,3,4,,,1,22,
12,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E2,5.1,2,3,3,3,3,4,4,4,,,1,22,
13,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E3,5.6,2,3,2,2,2,2,3,5,,,1,22,
14,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E4,10.0,,,,,,,,,,,,,
15,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E5,10.0,,,,,,,,,,,,,
16,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E6,10.0,,,,,,,,,,,,,
17,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,E∑,5.3,2,3,3,3,3,3,3,4,0,0,1,22,
18,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,T,0.000,,,,,,,,,,,,,
19,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,D,1.4,0.0,,,,,,,,,,,,
20,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,1,TRUE,12,,,40.300,0,0,0.000,99,58.750,0,TRA,1,,0,中村,佳典,日本クリード,01/01/0001,,2,8,0.0,0.0,1.4,17.300,PUBLISHED,,2017-01-29 10:47:24.300482348 +0900,2017-01-29 10:47:44.338423896 +0900,H,0.00,0.00,0.00,,,,,,,,,,,
21,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E1,8.1,2,2,2,2,2,2,2,3,,,2,,
22,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E2,8.0,2,2,2,2,3,2,3,4,,,0,0,
23,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E3,8.0,2,3,2,2,2,2,2,3,,,2,0,
24,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E4,10.0,,,,,,,,,,,,,
25,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E5,10.0,,,,,,,,,,,,,
26,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E6,10.0,,,,,,,,,,,,,
27,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,E∑,8.1,2,2,2,2,2,2,2,3,0,0,2,0,
28,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,T,0.000,,,,,,,,,,,,,
29,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,D,1.9,0.0,,,,,,,,,,,,
30,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,1,8,0.0,0.0,1.9,26.200,PUBLISHED,,2017-01-29 10:31:16.74922711 +0900,2017-01-29 10:31:31.603036643 +0900,H,0.00,0.00,0.00,,,,,,,,,,,
31,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E1,7.6,2,2,2,1,2,2,3,5,,,5,,
32,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E2,7.9,1,2,2,2,2,2,2,3,,,5,0,
33,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E3,7.8,1,2,2,2,2,2,2,4,,,5,0,
34,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E4,10.0,,,,,,,,,,,,,
35,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E5,10.0,,,,,,,,,,,,,
36,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E6,10.0,,,,,,,,,,,,,
37,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,E∑,7.8,1,2,2,2,2,2,2,4,0,0,5,0,
38,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,T,0.000,,,,,,,,,,,,,
39,dc47c454-0639-4b5d-5e77-5d4e72e2f3fe,2017 SSU CUP タンブリングオープン,,男子 8 トリック,,TUM,,Qualification,1,,2,TRUE,6,,,51.000,0,0,0.000,99,74.850,0,TRA,1,,0,市村,明寛,キタイスポーツクラブ,01/01/0001,,2,8,0.0,0.0,1.4,24.800,PUBLISHED,,2017-01-29 10:48:34.244812876 +0900,2017-01-29 10:48:54.614636358 +0900,D,1.4,0.0,,,,,,,,,,,,
