#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Stage: Kind,Group #,Group: Comment,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: MarkExecTTT_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine type,Routine Rank,Routine #,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,E1,E2,E3,E4,E5,E6,A1,A2,A3,A4,A5,A6,R1,R2,R3,R4,Frame: EMarkTTT_G,Frame: AMarkTTT_G,Frame: DMarkTTT_G,Frame: DPenTTT_G,Frame: CPenTTT_G,Frame: PenTTT_G,Frame: TExecMarkTTT_G,Frame: TMarkTTT_G
1,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,2,,1,TRUE,1,,,23.900,12,0,46.000,1,8.000,WP,1,,2,Silva,Inês,CGG,01/01/0001,,Combinded,1,2,PUBLISHED,,2023-04-29 10:48:25.19806 +0100,2023-04-29 10:48:26.9594032 +0100,7.8,8.1,7.9,8.2,,,7.6,8.0,8.3,7.8,,,,,,,8.000,7.900,0.000,0.000,0.000,0.000,8.000,23.900
2,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,2,,1,TRUE,1,,,23.900,12,0,46.000,1,8.000,WP,2,,2,Freitas,Beatriz,CGG,01/01/0001,,Combinded,1,2,PUBLISHED,,2023-04-29 10:48:25.19806 +0100,2023-04-29 10:48:26.9594032 +0100,7.8,8.1,7.9,8.2,,,7.6,8.0,8.3,7.8,,,,,,,8.000,7.900,0.000,0.000,0.000,0.000,8.000,23.900
3,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,2,,2,TRUE,3,,,0.000,12,0,46.000,1,0.000,WP,1,,12,Castro,Alice,CGG,01/01/0001,,Combinded,3,2,PUBLISHED,,2023-04-29 18:24:44.2670582 +0100,2023-04-29 18:24:44.6292673 +0100,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,2,,2,TRUE,3,,,0.000,12,0,46.000,1,0.000,WP,2,,12,Barroso,Francisca,CGG,01/01/0001,,Combinded,3,2,PUBLISHED,,2023-04-29 18:24:44.2670582 +0100,2023-04-29 18:24:44.6292673 +0100,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,4,,1,TRUE,2,,,22.100,12,0,46.000,1,7.450,WP,1,,26,Ferreira,Rita,CGG,01/01/0001,,Combinded,2,2,PUBLISHED,,2023-04-29 11:12:03.3725933 +0100,2023-04-29 11:12:04.2460061 +0100,7.6,7.9,7.8,7.7,,,7.2,7.2,7.2,7.3,,,,,,,7.750,7.200,0.000,0.300,0.300,0.600,7.450,22.100
6,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,BRAGA NÍVEL I,,WP,Qualification,4,,1,TRUE,2,,,22.100,12,0,46.000,1,7.450,WP,2,,26,Ribeiro,Mariana,CGG,01/01/0001,,Combinded,2,2,PUBLISHED,,2023-04-29 11:12:03.3725933 +0100,2023-04-29 11:12:04.2460061 +0100,7.6,7.9,7.8,7.7,,,7.2,7.2,7.2,7.3,,,,,,,7.750,7.200,0.000,0.300,0.300,0.600,7.450,22.100
7,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,AVEIRO NÍVEL I,,WP,Qualification,2,,1,TRUE,1,,,22.350,14,0,62.050,1,7.750,WP,1,,4,Rocha,Clara,CJSA,01/01/0001,,Combinded,1,2,PUBLISHED,,2023-04-29 09:26:12.4403376 +0100,2023-04-29 09:26:13.0699873 +0100,7.6,8.0,7.7,7.8,,,7.2,6.6,6.9,6.8,,,,,,,7.750,6.850,0.000,0.000,0.000,0.000,7.750,22.350
8,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,AVEIRO NÍVEL I,,WP,Qualification,2,,1,TRUE,1,,,22.350,14,0,62.050,1,7.750,WP,2,,4,Couto,Eva,CJSA,01/01/0001,,Combinded,1,2,PUBLISHED,,2023-04-29 09:26:12.4403376 +0100,2023-04-29 09:26:13.0699873 +0100,7.6,8.0,7.7,7.8,,,7.2,6.6,6.9,6.8,,,,,,,7.750,6.850,0.000,0.000,0.000,0.000,7.750,22.350
9,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,AVEIRO NÍVEL I,,WP,Qualification,2,,2,TRUE,2,,,21.450,14,0,62.050,1,7.400,WP,1,,16,Rocha,Eva,CJSA,01/01/0001,,Combinded,2,2,PUBLISHED,,2023-04-29 10:41:56.761369 +0100,2023-04-29 10:41:58.2224226 +0100,7.2,8.0,7.3,7.5,,,7.0,6.6,6.4,6.7,,,,,,,7.400,6.650,0.000,0.000,0.000,0.000,7.400,21.450
10,7e87cfce-ae21-4a18-77b7-dd155e88d64c,Campeonato Distrital de Infantis e Níveis,,AVEIRO NÍVEL I,,WP,Qualification,2,,2,TRUE,2,,,21.450,14,0,62.050,1,7.400,WP,2,,16,Soares,Ema,CJSA,01/01/0001,,Combinded,2,2,PUBLISHED,,2023-04-29 10:41:56.761369 +0100,2023-04-29 10:41:58.2224226 +0100,7.2,8.0,7.3,7.5,,,7.0,6.6,6.4,6.7,,,,,,,7.400,6.650,0.000,0.000,0.000,0.000,7.400,21.450
