#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E1,7.1,4,3,3,2,3,3,2,2,2,4,1,0,
2,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E2,7.2,3,3,3,2,3,3,3,2,2,4,0,,
3,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E3,6.9,3,3,4,2,3,3,3,3,3,4,0,,
4,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E4,6.6,3,4,4,3,3,3,3,3,3,4,1,,
5,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E5,6.4,4,4,4,3,3,3,3,3,3,5,1,0,
6,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E6,6.5,4,3,4,3,3,3,3,4,3,4,1,,
7,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,E∑,13.4,7,6,8,5,6,6,6,6,6,8,2,0,
8,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,T,14.770,,,,,,,,,,,,,
9,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,D,13.8,0.0,,,,,,,,,,,,
10,f32b7e30-86c5-41e2-4806-eb7ec7a52155,Coimbra World Cup 2022,3rd edition,Woman,,TRA,,Qualification,1,,1,TRUE,12,,,51.960,0,0,0.000,99,73.700,0,TRA,1,,24576,FLORIAN,Imogen,AUS,01/01/2001,,1,10,0.0,0.0,13.8,51.570,PUBLISHED,,2022-06-25 12:50:51.4664847 +0100,2022-06-25 12:51:30.3190059 +0100,H,9.60,9.60,0.00,,,,,,,,,,,
