#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E1,8.0,1,2,2,2,2,2,2,2,3,2,0,,
2,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E2,8.5,0,1,1,1,2,2,2,2,1,2,1,,
3,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E3,8.6,1,1,1,1,2,2,1,1,2,2,0,,
4,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E4,8.1,1,2,2,1,2,2,2,1,2,2,2,,
5,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E5,8.1,2,2,2,2,2,2,1,2,2,2,0,,
6,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E6,8.0,1,2,1,2,3,2,1,2,2,2,2,,
7,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,E∑,815.0,20,40,30,30,40,40,30,40,40,40,20,0,
8,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,T,0.948,3,4,4,4,12,15,20,36,46,52,,,
9,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,D,15.8,0.0,,,,,,,,,,,,
10,b25a8a8b-a95a-43c1-6e4c-cf29ea5a7c1a,FIG World Cup - 51st Nissen Cup - ID 16778,,Synchro Men,,SYN,,Qualification,1,,1,TRUE,2,,S 2,52.060,0,0,0.000,99,52.060,0,TRA,1,,6986,KISHI,Daiki,JPN,01/01/1994,,1,10,0.0,0.0,15.8,52.060,PUBLISHED,,2022-07-01 16:29:42.3174849 +0200,2022-07-01 16:34:57.9798469 +0200,H,9.15,0.00,0.00,,,,,,,,,,,
