#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E1,5.0,5,5,5,5,5,5,5,5,,,5,5,
2,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E2,8.3,3,0,3,2,3,1,0,5,,,,,
3,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E3,6.0,5,5,4,5,5,5,4,3,,,4,0,
4,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E4,6.3,5,5,4,1,2,4,5,3,,,5,3,
5,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E5,7.6,2,3,2,1,4,5,3,2,,,1,1,
6,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E6,10.0,,,,,,,,,,,,,
7,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,E∑,6.3,5,5,4,2,4,5,4,3,0,0,4,1,
8,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,T,0.000,,,,,,,,,,,,,
9,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,D,0.0,0.0,,,,,,,,,,,,
10,af728de8-12bf-48a7-6105-293c87f0b456,Forbundsmesterskaberne - Junior DM,Forbundsmesterskaberne - GymDanmark,Dommertest bord 1,,TUM,,Qualification,1,,1,TRUE,4,,,18.900,0,0,0.000,99,28.350,0,TRA,1,,0,Test,1,,01/01/0001,,1,8,0.0,0.0,0.0,18.900,PUBLISHED,,2015-05-01 22:23:14.07768438 +0200,2015-05-01 22:24:15.155778902 +0200,H,0.00,0.00,0.00,,,,,,,,,,,
