#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Stage: Kind,Group #,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine type,Routine #,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Frame: SJComment,Frame: IsTeamscore,Frame: Qualification,Frame: EAPenTTT_G,Frame: ETPenTTT_G,Frame: PenaltyTT_G,Frame: EMarkTTT_G,Frame: AMarkTTT_G,Frame: DAMarkTT_G,Frame: DBMarkTT_G,Frame: DMarkTT_G,Frame: TMarkTTT_G,Frame: Rank_G,Frame: Qualification_G
1,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,NO APPT,1,PUBLISHED,,2023-02-26 09:13:26.6694456 +0000,2023-02-26 09:15:13.4678822 +0000,,TRUE,,1.800,1.450,0.00,8.550,8.200,0.00,4.20,4.20,20.950,3,
2,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,Rope,2,PUBLISHED,,2023-02-26 09:40:54.9616409 +0000,2023-02-26 09:42:37.349345 +0000,,TRUE,,2.250,1.950,0.00,8.050,7.750,2.60,3.90,6.50,22.300,4,
3,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,-,3,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
4,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,-,4,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
5,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,5,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
6,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,6,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
7,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,7,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
8,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,8,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
9,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,9,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
10,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,10,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
11,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,11,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
12,bc8ec4b3-da56-4f10-61b9-c3c193cb5b09,TAÇA DE PORTUGAL GR 2023,,Programa A,,IND,All-Around,1,1,TRUE,4,,,43.250,1,0,78.700,6,IND,1,,0,Lucas,Gabriela,CNM A,01/01/0001,,,12,,,0001-01-01 00:00:00 +0000,0001-01-01 00:00:00 +0000,,TRUE,,0.000,0.000,0.00,0.000,0.000,0.00,0.00,0.00,0.000,1,
