#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E1,8.9,1,0,1,0,1,1,1,2,1,3,0,,
2,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E2,8.7,0,1,1,1,1,1,2,1,2,3,0,,
3,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E3,8.6,0,1,1,1,1,1,2,2,2,3,0,,
4,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E4,9.1,0,0,1,0,0,0,2,1,1,4,0,,
5,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E5,8.6,0,1,1,0,1,1,2,2,2,3,1,,
6,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E6,8.9,0,0,1,0,0,0,2,2,2,3,1,,
7,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,E∑,17.5,0,1,2,0,2,2,4,4,4,6,0,0,
8,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,T,16.100,,,,,,,,,,,,,
9,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,D,4.6,0.0,,,,,,,,,,,,
10,f1102f17-774a-49b9-6016-6640e88ac322,TRAMPOLINE GYMNASTICS WORLD CUP,"RUSSIA, Khabarovsk 2019 | FIG ID 15566",WOMEN,,TRA,,Qualification,1,,1,TRUE,43,,,53.445,0,0,0.000,99,35.600,0,TRA,1,cad824ba-cd5f-40b5-7c46-e2d0bac5c590,5680,Adam,Leonie,GER,02/01/1993,female,1,10,0.0,0.0,4.6,47.400,PUBLISHED,,2019-09-21 03:15:32.9478469 +0300,2019-09-21 03:16:12.2369073 +0300,H,9.20,9.20,0.00,,,,,,,,,,,
