#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E1,9.2,0,1,1,1,0,0,1,3,,,1,,
2,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E2,8.9,1,2,1,0,1,1,1,3,,,1,,
3,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E3,9.0,1,0,2,1,0,0,1,3,,,2,,
4,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E4,9.0,1,0,2,1,0,1,0,2,,,3,,
5,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E5,8.7,0,1,2,1,1,1,1,4,,,2,,
6,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E6,10.0,,,,,,,,,,,,,
7,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,E∑,26.8,2,2,5,3,1,2,3,9,0,0,5,0,
8,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,T,0.000,,,,,,,,,,,,,
9,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,D,7.8,0.0,,,,,,,,,,,,
10,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,1,8,0.0,0.3,7.8,34.300,PUBLISHED,,2018-09-15 15:18:08.937274 +0200,2018-09-15 15:18:24.6801257 +0200,H,0.00,0.00,0.00,,,,,,,,,,,
11,dd91581d-0a4c-49e4-6051-13527b8c36e9,VM-udtagelse 2,,Damer/Herrer,,TUM,,Qualification,1,,1,TRUE,1,,,68.100,0,0,0.000,99,94.900,0,TRA,1,,0,Green,Elias,Vestjysk GF,01/01/0001,,2,8,0.0,0.0,7.3,33.800,PUBLISHED,,2018-09-15 15:31:19.6400748 +0200,2018-09-15 15:31:35.1168957 +0200,E1,8.7,1,1,1,2,1,1,1,3,,,2,,
