#,Event: UUID,Event: Title,Event: Subtitle,Event: SubSubtitle,Event: InfoShort,Event: InfoLong,Competition: Title,Competition: GUID_C,Competition: SexCategory,Competition: Discipline,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: QualificationCategory_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: MarkExtraTTT_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Patronymic,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E1,0.6,4,,,,,,,,,,,,
2,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E2,0.6,4,,,,,,,,,,,,
3,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E3,0.6,4,,,,,,,,,,,,
4,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E4,0.7,3,,,,,,,,,,,,
5,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E5,1.0,,,,,,,,,,,,,
6,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E6,1.0,,,,,,,,,,,,,
7,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,E∑,1.2,8,0,0,0,0,0,0,0,0,0,0,0,
8,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,T,1.505,,,,,,,,,,,,,
9,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,D,1.5,0.0,,,,,,,,,,,,
10,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,1,1,0.0,0.0,1.5,5.105,PUBLISHED,,2024-02-08 12:45:45.996274 +0300,2024-02-08 12:46:13.4422598 +0300,H,0.90,0.90,0.00,,,,,,,,,,,
11,08d41541-7517-4208-6700-76228916eea9,Чемпионат Северо-Кавказского федерального округа и Южного федерального округа по прыжкам на батуте 2024 года,"г. Таганрог (Ростовская область), 07-10 февраля 2024 г.",,,,Мужчины (17 лет и старше) - МС,,,TRA,Qualification,1,,1,TRUE,22,,,40000,36.505,6,0,134.295,6,28.500,0,0.000,TRA,1,54a5be3c-9e3e-40e7-9d10-bce471d3e432,0,Скотников,Владислав,,Республика Адыгея,25/02/2007,,2,8,0.0,0.0,7.8,36.505,PUBLISHED,,2024-02-08 13:00:40.4817696 +0300,2024-02-08 13:00:56.9593896 +0300,E1,5.3,4,3,3,3,4,3,3,4,,,,,
