#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E1,7.5,1,2,1,3,3,3,3,3,3,3,0,,
2,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E2,7.9,0,1,1,3,3,2,3,3,2,3,0,,
3,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E3,7.6,2,2,2,3,3,2,2,2,3,3,0,,
4,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E4,7.5,3,3,2,2,2,2,2,3,3,3,0,,
5,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E5,7.6,1,1,2,2,2,3,3,3,4,3,0,,
6,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E6,7.4,3,3,2,2,2,2,3,3,3,3,0,,
7,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,E∑,15.1,3,4,4,5,5,4,6,6,6,6,0,0,
8,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,T,13.070,1495,1325,1330,1335,1290,1295,1270,1295,1350,1090,,,
9,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,D,0.0,0.0,,,,,,,,,,,,
10,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,1,10,0.0,0.0,0.0,37.870,PUBLISHED,,2023-05-13 09:50:33.745372 +0900,2023-05-13 09:51:08.182893 +0900,H,9.70,0.00,0.00,,,,,,,,,,,
11,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,2,10,0.0,0.0,6.5,42.400,PUBLISHED,,2023-05-13 10:03:02.003261 +0900,2023-05-13 10:03:43.832679 +0900,E1,6.6,3,2,3,3,3,3,4,4,4,4,1,,
12,6ab86ebd-b739-4c05-75eb-ae26cc52d0f5,第10回全日本トランポリン競技年齢別選手権大会,,AGE1 男子,,TRA,,Final,1,9:45-10:30,1,TRUE,6,A,,80.270,0,0,0.000,99,54.200,0,TRA,1,,0,加賀,陽翔,ＮＰＯ江戸崎スポーツクラブ,01/01/0001,,2,10,0.0,0.0,6.5,42.400,PUBLISHED,,2023-05-13 10:03:02.003261 +0900,2023-05-13 10:03:43.832679 +0900,E2,6.9,3,2,3,3,3,3,3,3,4,3,1,,
