#,Event: UUID,Event: Title,Event: Subtitle,Competition: Title,Competition: GUID_C,Competition: Discipline,Competition: SexCategory,Stage: Kind,Group #,Group: Time,Performance #,Performance: Ranked,Performance: Rank_G,Performance: Description,Performance: Qualification_G,Performance: MarkTTT_G,Performance: Team,Performance: NumberInTeam,Performance: TeamMarkTTT_G,Performance: TeamRank_G,Performance: Mark17TTT_G,Performance: TeamPoints_G,Performance: Discipline,Athlete #,Person: GUID,Person: ExternalID,Person: Surname,Person: GivenName,Person: Representing,Athlete: DateOfBirth,Athlete: Sex,Routine #,Frame: NElements,Frame: BonusT,Frame: PenaltyT,Frame: DifficultyT_G,Frame: MarkTTT_G,Frame: State,Frame: SubState,Frame: LastStartTime_G,Frame: LastFinishTime_G,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A,
1,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E1,7.2,2,3,3,3,3,3,3,2,3,2,1,0,
2,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E2,6.9,3,4,4,4,3,3,3,2,2,3,0,0,
3,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E3,6.9,3,3,4,3,3,4,3,3,3,2,0,0,
4,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E4,7.3,2,3,3,3,3,3,3,2,2,3,0,0,
5,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E5,10.0,,,,,,,,,,,,,
6,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E6,10.0,,,,,,,,,,,,,
7,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,E∑,14.4,5,6,7,6,6,6,6,4,5,5,0,0,
8,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,T,11.945,1310,1200,1245,1170,1200,1230,1160,1145,1225,1060,,,
9,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,D,0.0,0.0,,,,,,,,,,,,
10,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,1,10,0.0,0.0,0.0,35.795,PUBLISHED,,2017-05-13 09:36:36.605306274 +0900,2017-05-13 09:52:20.204865427 +0900,H,9.45,9.45,0.00,,,,,,,,,,,
11,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,2,10,0.0,0.0,5.8,40.830,PUBLISHED,,2017-05-13 10:05:38.538951579 +0900,2017-05-13 10:05:42.913610497 +0900,E1,7.1,2,3,3,3,3,3,3,3,3,3,0,0,
12,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,2,10,0.0,0.0,5.8,40.830,PUBLISHED,,2017-05-13 10:05:38.538951579 +0900,2017-05-13 10:05:42.913610497 +0900,E2,7.2,3,3,3,3,3,3,3,2,3,2,0,0,
13,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,2,10,0.0,0.0,5.8,40.830,PUBLISHED,,2017-05-13 10:05:38.538951579 +0900,2017-05-13 10:05:42.913610497 +0900,E3,7.0,3,3,3,3,3,3,3,3,3,3,0,0,
14,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,2,10,0.0,0.0,5.8,40.830,PUBLISHED,,2017-05-13 10:05:38.538951579 +0900,2017-05-13 10:05:42.913610497 +0900,E4,6.8,3,3,4,3,3,4,3,4,3,2,0,0,
15,68dfa20b-fcdf-41fc-55c0-f19c96873bbd,第4回全日本トランポリン年齢別選手権大会,,11-12才 女子,,TRA,,Qualification,1,,1,TRUE,23,,,76.625,0,0,0.000,99,52.700,0,TRA,1,,0,岩井,美羽,星稜ジュニア,01/01/0001,,2,10,0.0,0.0,5.8,40.830,PUBLISHED,,2017-05-13 10:05:38.538951579 +0900,2017-05-13 10:05:42.913610497 +0900,E5,10.0,,,,,,,,,,,,,
